%time,field.header.seq,field.header.stamp,field.header.frame_id,field.pose.position.x,field.pose.position.y,field.pose.position.z,field.pose.orientation.x,field.pose.orientation.y,field.pose.orientation.z,field.pose.orientation.w
1678872179403894461,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1678872179453519217,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1678872179503450230,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1678872179553523133,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1678872179603530787,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1678872179653532466,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1678872179703536215,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1678872179753601690,13556,0,map,0.87353857421875,-1.3330286865234375,0.1278686981201172,0.0011312824208289385,-0.007842718623578548,0.7147219777107239,0.6993638277053833
1678872179803542488,13556,0,map,0.87353857421875,-1.3330286865234375,0.1278686981201172,0.0011312824208289385,-0.007842718623578548,0.7147219777107239,0.6993638277053833
1678872179853570721,13561,0,map,0.8734520263671876,-1.332982666015625,0.12801570129394532,0.0008366049150936306,-0.008249864913523197,0.7149066925048828,0.699170708656311
1678872179903551821,13561,0,map,0.8734520263671876,-1.332982666015625,0.12801570129394532,0.0008366049150936306,-0.008249864913523197,0.7149066925048828,0.699170708656311
1678872179953579460,13568,0,map,0.8734508056640625,-1.3329693603515624,0.12790690612792968,0.0012598603498190641,-0.007477409206330776,0.7144201397895813,0.6996759176254272
1678872180003549643,13568,0,map,0.8734508056640625,-1.3329693603515624,0.12790690612792968,0.0012598603498190641,-0.007477409206330776,0.7144201397895813,0.6996759176254272
1678872180053566769,13575,0,map,0.8733901977539062,-1.3317093505859374,0.1279218978881836,0.0011530740885064006,-0.007471478544175625,0.7145270705223083,0.6995669603347778
1678872180103559703,13575,0,map,0.8733901977539062,-1.3317093505859374,0.1279218978881836,0.0011530740885064006,-0.007471478544175625,0.7145270705223083,0.6995669603347778
1678872180153567823,13580,0,map,0.8732863159179688,-1.3296553955078125,0.1279189910888672,0.0010422783670946956,-0.007784214802086353,0.7148241400718689,0.6992601752281189
1678872180203551369,13580,0,map,0.8732863159179688,-1.3296553955078125,0.1279189910888672,0.0010422783670946956,-0.007784214802086353,0.7148241400718689,0.6992601752281189
1678872180253498447,13587,0,map,0.87339306640625,-1.3236461181640624,0.1278220672607422,0.0021505875047296286,-0.006891914177685976,0.7150397300720215,0.6990465521812439
1678872180303536823,13587,0,map,0.87339306640625,-1.3236461181640624,0.1278220672607422,0.0021505875047296286,-0.006891914177685976,0.7150397300720215,0.6990465521812439
1678872180353562566,13592,0,map,0.8732228393554687,-1.3176695556640625,0.12790309143066406,0.0018667788244783878,-0.006907775532454252,0.7145487070083618,0.6995490789413452
1678872180403541548,13592,0,map,0.8732228393554687,-1.3176695556640625,0.12790309143066406,0.0018667788244783878,-0.006907775532454252,0.7145487070083618,0.6995490789413452
1678872180453577576,13599,0,map,0.8733251953125,-1.305729248046875,0.12773358154296874,0.0014478114899247885,-0.005687906872481108,0.7143847346305847,0.6997285485267639
1678872180503484322,13599,0,map,0.8733251953125,-1.305729248046875,0.12773358154296874,0.0014478114899247885,-0.005687906872481108,0.7143847346305847,0.6997285485267639
1678872180553571474,13604,0,map,0.8733024291992187,-1.29541064453125,0.12775209045410157,0.0025062409695237875,-0.004334797151386738,0.7135938405990601,0.7005417943000793
1678872180603551639,13604,0,map,0.8733024291992187,-1.29541064453125,0.12775209045410157,0.0025062409695237875,-0.004334797151386738,0.7135938405990601,0.7005417943000793
1678872180653575250,13611,0,map,0.8729014892578125,-1.27855517578125,0.12752237701416017,0.0017911873292177916,-0.005525358021259308,0.7135031223297119,0.7006279826164246
1678872180703549339,13611,0,map,0.8729014892578125,-1.27855517578125,0.12752237701416017,0.0017911873292177916,-0.005525358021259308,0.7135031223297119,0.7006279826164246
1678872180753572003,13618,0,map,0.8725239868164063,-1.2593704833984376,0.12747480010986328,0.0009289156296290457,-0.003592755878344178,0.7119321227073669,0.7022384405136108
1678872180803546033,13618,0,map,0.8725239868164063,-1.2593704833984376,0.12747480010986328,0.0009289156296290457,-0.003592755878344178,0.7119321227073669,0.7022384405136108
1678872180853560839,13623,0,map,0.8722911987304688,-1.2443194580078125,0.12744666290283202,0.0005402867682278156,-0.005353797227144241,0.7120092511177063,0.702149510383606
1678872180903559402,13623,0,map,0.8722911987304688,-1.2443194580078125,0.12744666290283202,0.0005402867682278156,-0.005353797227144241,0.7120092511177063,0.702149510383606
1678872180953560986,13629,0,map,0.8724397583007812,-1.222616455078125,0.12710883331298828,-0.000704347447026521,-0.0046003637835383415,0.7115576863288879,0.7026122808456421
1678872181003554468,13629,0,map,0.8724397583007812,-1.222616455078125,0.12710883331298828,-0.000704347447026521,-0.0046003637835383415,0.7115576863288879,0.7026122808456421
1678872181053573995,13634,0,map,0.8722066040039063,-1.206262451171875,0.1268970413208008,-0.0008633281104266644,-0.0038628431502729654,0.7108116745948792,0.7033712267875671
1678872181103556769,13634,0,map,0.8722066040039063,-1.206262451171875,0.1268970413208008,-0.0008633281104266644,-0.0038628431502729654,0.7108116745948792,0.7033712267875671
1678872181153564143,13641,0,map,0.8719854125976563,-1.182974365234375,0.12684825134277344,-0.0033731674775481224,-0.005002447869628668,0.7106552720069885,0.7035145163536072
1678872181203550898,13641,0,map,0.8719854125976563,-1.182974365234375,0.12684825134277344,-0.0033731674775481224,-0.005002447869628668,0.7106552720069885,0.7035145163536072
